frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len
0.000000000,,,,,,42
0.000024000,,,,,,42
0.000368000,10.0.0.2,10.0.0.1,38056,80,0x0002,74
0.000422000,10.0.0.1,10.0.0.2,80,38056,0x0012,74
0.000505000,10.0.0.2,10.0.0.1,38056,80,0x0010,66
0.002923000,10.0.0.2,10.0.0.1,38056,80,0x0018,138
0.002948000,10.0.0.1,10.0.0.2,80,38056,0x0010,66
0.005854000,10.0.0.1,10.0.0.2,80,38056,0x0018,223
0.005907000,10.0.0.2,10.0.0.1,38056,80,0x0010,66
0.005950000,10.0.0.1,10.0.0.2,80,38056,0x0018,1640
0.005961000,10.0.0.2,10.0.0.1,38056,80,0x0010,66
0.006043000,10.0.0.1,10.0.0.2,80,38056,0x0011,66
0.006753000,10.0.0.2,10.0.0.1,38056,80,0x0011,66
0.006770000,10.0.0.1,10.0.0.2,80,38056,0x0010,66
0.033030000,10.0.0.2,10.0.0.1,38066,80,0x0002,74
0.033065000,10.0.0.1,10.0.0.2,80,38066,0x0012,74
0.033098000,10.0.0.2,10.0.0.1,38066,80,0x0010,66
0.047723000,10.0.0.2,10.0.0.1,38066,80,0x0018,138
0.047954000,10.0.0.1,10.0.0.2,80,38066,0x0010,66
0.051380000,10.0.0.1,10.0.0.2,80,38066,0x0018,223
0.051505000,10.0.0.2,10.0.0.1,38066,80,0x0010,66
0.051565000,10.0.0.1,10.0.0.2,80,38066,0x0018,1640
0.051582000,10.0.0.2,10.0.0.1,38066,80,0x0010,66
0.051640000,10.0.0.1,10.0.0.2,80,38066,0x0011,66
0.053661000,10.0.0.2,10.0.0.1,38066,80,0x0011,66
0.053693000,10.0.0.1,10.0.0.2,80,38066,0x0010,66
0.084618000,10.0.0.2,10.0.0.1,38074,80,0x0002,74
0.084667000,10.0.0.1,10.0.0.2,80,38074,0x0012,74
0.084719000,10.0.0.2,10.0.0.1,38074,80,0x0010,66
0.087972000,10.0.0.2,10.0.0.1,38074,80,0x0018,138
0.088280000,10.0.0.1,10.0.0.2,80,38074,0x0010,66
0.089654000,10.0.0.1,10.0.0.2,80,38074,0x0018,223
0.089720000,10.0.0.2,10.0.0.1,38074,80,0x0010,66
0.089757000,10.0.0.1,10.0.0.2,80,38074,0x0018,1640
0.089769000,10.0.0.2,10.0.0.1,38074,80,0x0010,66
0.089815000,10.0.0.1,10.0.0.2,80,38074,0x0011,66
0.091848000,10.0.0.2,10.0.0.1,38074,80,0x0011,66
0.091901000,10.0.0.1,10.0.0.2,80,38074,0x0010,66
0.130279000,10.0.0.2,10.0.0.1,38076,80,0x0002,74
0.130326000,10.0.0.1,10.0.0.2,80,38076,0x0012,74
0.130368000,10.0.0.2,10.0.0.1,38076,80,0x0010,66
0.134725000,10.0.0.2,10.0.0.1,38076,80,0x0018,138
0.134756000,10.0.0.1,10.0.0.2,80,38076,0x0010,66
0.137755000,10.0.0.1,10.0.0.2,80,38076,0x0018,223
0.137820000,10.0.0.2,10.0.0.1,38076,80,0x0010,66
0.138473000,10.0.0.1,10.0.0.2,80,38076,0x0018,1640
0.138529000,10.0.0.2,10.0.0.1,38076,80,0x0010,66
0.140059000,10.0.0.2,10.0.0.1,38076,80,0x0011,66
0.142088000,10.0.0.1,10.0.0.2,80,38076,0x0011,66
0.142147000,10.0.0.2,10.0.0.1,38076,80,0x0010,66
0.175504000,10.0.0.2,10.0.0.1,38078,80,0x0002,74
0.175531000,10.0.0.1,10.0.0.2,80,38078,0x0012,74
0.175560000,10.0.0.2,10.0.0.1,38078,80,0x0010,66
0.177525000,10.0.0.2,10.0.0.1,38078,80,0x0018,138
0.177566000,10.0.0.1,10.0.0.2,80,38078,0x0010,66
0.180581000,10.0.0.1,10.0.0.2,80,38078,0x0018,223
0.180655000,10.0.0.2,10.0.0.1,38078,80,0x0010,66
0.180812000,10.0.0.1,10.0.0.2,80,38078,0x0018,1640
0.180836000,10.0.0.2,10.0.0.1,38078,80,0x0010,66
0.181523000,10.0.0.2,10.0.0.1,38078,80,0x0011,66
0.183891000,10.0.0.1,10.0.0.2,80,38078,0x0011,66
0.183951000,10.0.0.2,10.0.0.1,38078,80,0x0010,66
0.213322000,10.0.0.2,10.0.0.1,38082,80,0x0002,74
0.213350000,10.0.0.1,10.0.0.2,80,38082,0x0012,74
0.213378000,10.0.0.2,10.0.0.1,38082,80,0x0010,66
0.214818000,10.0.0.2,10.0.0.1,38082,80,0x0018,138
0.214839000,10.0.0.1,10.0.0.2,80,38082,0x0010,66
0.216242000,10.0.0.1,10.0.0.2,80,38082,0x0018,223
0.216292000,10.0.0.2,10.0.0.1,38082,80,0x0010,66
0.216327000,10.0.0.1,10.0.0.2,80,38082,0x0018,1640
0.216382000,10.0.0.2,10.0.0.1,38082,80,0x0010,66
0.216435000,10.0.0.1,10.0.0.2,80,38082,0x0011,66
0.218725000,10.0.0.2,10.0.0.1,38082,80,0x0011,66
0.218760000,10.0.0.1,10.0.0.2,80,38082,0x0010,66
0.249831000,10.0.0.2,10.0.0.1,38094,80,0x0002,74
0.249861000,10.0.0.1,10.0.0.2,80,38094,0x0012,74
0.249891000,10.0.0.2,10.0.0.1,38094,80,0x0010,66
0.252130000,10.0.0.2,10.0.0.1,38094,80,0x0018,138
0.252163000,10.0.0.1,10.0.0.2,80,38094,0x0010,66
0.254888000,10.0.0.1,10.0.0.2,80,38094,0x0018,223
0.254977000,10.0.0.2,10.0.0.1,38094,80,0x0010,66
0.255053000,10.0.0.1,10.0.0.2,80,38094,0x0018,1640
0.255065000,10.0.0.2,10.0.0.1,38094,80,0x0010,66
0.255146000,10.0.0.1,10.0.0.2,80,38094,0x0011,66
0.256288000,10.0.0.2,10.0.0.1,38094,80,0x0011,66
0.256372000,10.0.0.1,10.0.0.2,80,38094,0x0010,66
0.290922000,10.0.0.2,10.0.0.1,38102,80,0x0002,74
0.290952000,10.0.0.1,10.0.0.2,80,38102,0x0012,74
0.290979000,10.0.0.2,10.0.0.1,38102,80,0x0010,66
0.292126000,10.0.0.2,10.0.0.1,38102,80,0x0018,138
0.292149000,10.0.0.1,10.0.0.2,80,38102,0x0010,66
0.293348000,10.0.0.1,10.0.0.2,80,38102,0x0018,223
0.294476000,10.0.0.2,10.0.0.1,38102,80,0x0010,66
0.294815000,10.0.0.1,10.0.0.2,80,38102,0x0018,1640
0.294870000,10.0.0.2,10.0.0.1,38102,80,0x0010,66
