frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len,label
4.967188,10.0.0.3,10.0.0.1,11273,80,0x0002,54,1
1.77574,10.0.0.1,10.0.0.3,80,56517,0x0014,54,1
8.066342,10.0.0.1,10.0.0.2,80,60788,0x0018,1640,0
5.706153,10.0.0.2,10.0.0.1,60164,80,0x0002,74,0
4.966057,10.0.0.1,10.0.0.3,80,11224,0x0014,54,1
8.834224,10.0.0.1,10.0.0.2,80,60974,0x0018,223,0
4.053743,10.0.0.1,10.0.0.3,80,51386,0x0014,54,1
15.175615,10.0.0.2,10.0.0.1,34324,80,0x0011,66,0
8.267892,10.0.0.1,10.0.0.2,80,60846,0x0018,1640,0
5.040764,10.0.0.2,10.0.0.1,39362,80,0x0011,66,0
2.934725,10.0.0.2,10.0.0.1,38842,80,0x0018,138,0
9.726403,10.0.0.1,10.0.0.2,80,32930,0x0011,66,0
1.771698,10.0.0.3,10.0.0.1,56398,80,0x0002,54,1
12.690548,10.0.0.1,10.0.0.2,80,33654,0x0010,66,0
9.480861,10.0.0.2,10.0.0.1,32870,80,0x0018,138,0
1.690481,10.0.0.3,10.0.0.1,54181,80,0x0002,54,1
7.458679,10.0.0.2,10.0.0.1,60608,80,0x0002,74,0
0.456343,10.0.0.3,10.0.0.1,15149,80,0x0002,54,1
14.887532,10.0.0.1,10.0.0.2,80,34250,0x0012,74,0
1.925881,10.0.0.1,10.0.0.2,80,38534,0x0010,66,0
16.831246,10.0.0.1,10.0.0.2,80,51938,0x0010,1514,0
5.962023,10.0.0.2,10.0.0.1,60228,80,0x0018,138,0
4.322439,10.0.0.3,10.0.0.1,57649,80,0x0002,54,1
2.040551,10.0.0.3,10.0.0.1,64110,80,0x0002,54,1
3.1658,10.0.0.3,10.0.0.1,25726,80,0x0002,54,1
13.926974,10.0.0.1,10.0.0.2,80,34012,0x0012,74,0
13.861246,10.0.0.1,10.0.0.2,80,33990,0x0018,223,0
7.791721,10.0.0.1,10.0.0.2,80,60698,0x0010,66,0
3.651283,10.0.0.1,10.0.0.3,80,38708,0x0014,54,1
1.983241,10.0.0.3,10.0.0.1,62929,80,0x0002,54,1
14.714773,10.0.0.2,10.0.0.1,34196,80,0x0010,66,0
2.145568,10.0.0.1,10.0.0.3,80,818,0x0014,54,1
2.112253,10.0.0.3,10.0.0.1,65499,80,0x0002,54,1
1.287068,10.0.0.3,10.0.0.1,41839,80,0x0002,54,1
14.52275,10.0.0.1,10.0.0.2,80,34154,0x0018,1640,0
0.496995,10.0.0.1,10.0.0.2,80,38138,0x0018,223,0
1.416593,10.0.0.3,10.0.0.1,46858,80,0x0002,54,1
2.859169,10.0.0.1,10.0.0.3,80,18765,0x0014,54,1
